page,day,start_period,end_period,weeks,name,location,teacher
1,1,1,2,3-4周,线性代数,理科南211（阶）,蒲学科
1,1,1,2,17周,线性代数,理科南110（阶）,蒲学科
1,1,3,4,3-6周,大学生职业发展与就业指导1,文新224,徐芃
1,2,3,4,3-18周,高等数学Ⅰ1,理科北506（阶）,赵碧蓉
1,2,5,6,"6周,14周",大学生心理健康教育实践课,理科南304（活）,卢佳静
1,3,1,2,"3-9周,12-16周",程序设计基础,理科北505（阶）,陈康民
1,3,3,4,3-18周,高等数学Ⅰ1,理科北506（阶）,赵碧蓉
1,3,5,6,9-10周,计算机导论,理科南411（阶）,谭伟强
2,3,5,6,13-14周,计算机导论,理科南411（阶）,颜国风
2,3,5,6,15-16周,计算机导论,理科南411（阶）,许鹏
2,3,7,8,"3-5周,8-16周",程序设计基础实验,电子楼517,陈康民
1,4,1,2,"3-4周,6-18周",通用英语1,文新217（活）,李丽
1,4,3,4,"3-4周,6-18周",大学体育1,北区网球场5,周志俊
1,4,5,6,"3-4周,6-14周",程序设计基础,中国大学Mooc,陈康民
2,4,9,11,"3-4周,6-12周,16周",思想道德与法治,文清110（阶）,杨高峰
3,4,9,11,13-15周,思想道德与法治,文清110（阶）,杨高峰
1,5,1,2,"3-4周,6-12周,14-18周",线性代数,理科南110（阶）,蒲学科
1,5,3,4,"3-4周,6-9周,11-18周",高等数学Ⅰ1,理科北506（阶）,赵碧蓉
1,6,1,2,5周,通用英语1,文新217（活）,李丽
1,6,3,4,5周,大学体育1,北区网球场5,周志俊
1,6,5,6,5周,程序设计基础,中国大学Mooc,陈康民
2,6,9,11,5周,思想道德与法治,文清110（阶）,杨高峰
1,7,1,2,6周,线性代数,理科南110（阶）,蒲学科
1,7,3,4,6周,高等数学Ⅰ1,理科北506（阶）,赵碧蓉
